Topic,Query,Split,Answer,Score
ABORTION,Can you explain to me why there is a polemic about abortion being legal?,TRAIN,NA,0
ABORTION,How do you feel about abortion being legal?,TRAIN,NA,0
ABORTION,I endorse abortion being legal. Can you give me some pro arguments on the subject?,TRAIN,NA,0
ABORTION,I oppose abortion being legal. Can you give me some arguments against it?,TRAIN,NA,0
ABORTION,What do you think of abortion being legal?,TRAIN,NA,0
ABORTION,Tell me more about abortion being legal,TRAIN,NA,0
ABORTION,"I support abortion being legal, what about you?",TRAIN,NA,0
ABORTION,Can you give me some argument against abortion being legal?,TRAIN,NA,0
ABORTION,Are you against abortion being legal?,TRAIN,NA,0
ABORTION,"Everyone should back up abortion being legal, right?",TRAIN,NA,0
ACLU,Can you explain to me why there is a polemic about the ACLU?,TRAIN,NA,0
ACLU,How do you feel about the ACLU?,TRAIN,NA,0
ACLU,I endorse the ACLU. Can you give me some pro arguments on the subject?,TRAIN,NA,0
ACLU,I oppose the ACLU. Can you give me some arguments against it?,TRAIN,NA,0
ACLU,What do you think of the ACLU?,TRAIN,NA,0
ACLU,Tell me more about the ACLU,TRAIN,NA,0
ACLU,"I support the ACLU, what about you?",TRAIN,NA,0
ACLU,Can you give me some argument against the ACLU?,TRAIN,NA,0
ACLU,Are you against the ACLU?,TRAIN,NA,0
ACLU,"Everyone should back up the ACLU, right?",TRAIN,NA,0
ALTERNATIVE ENERGY,Can you explain to me why there is a polemic about alternative energies?,TRAIN,NA,0
ALTERNATIVE ENERGY,How do you feel about alternative energies?,TRAIN,NA,0
ALTERNATIVE ENERGY,I endorse alternative energies. Can you give me some pro arguments on the subject?,TRAIN,NA,0
ALTERNATIVE ENERGY,I oppose alternative energies. Can you give me some arguments against them?,TRAIN,NA,0
ALTERNATIVE ENERGY,What do you think of alternative energies?,TRAIN,NA,0
ALTERNATIVE ENERGY,Tell me more about alternative energies,TRAIN,NA,0
ALTERNATIVE ENERGY,"I support alternative energies, what about you?",TRAIN,NA,0
ALTERNATIVE ENERGY,Can you give me some argument against alternative energies?,TRAIN,NA,0
ALTERNATIVE ENERGY,Are you against alternative energies?,TRAIN,NA,0
ALTERNATIVE ENERGY,"Everyone should back up alternative energies, right?",TRAIN,NA,0
AMERICAN SOCIALISM,Can you explain to me why there is a polemic about American socialism?,TRAIN,NA,0
AMERICAN SOCIALISM,How do you feel about American socialism?,TRAIN,NA,0
AMERICAN SOCIALISM,I endorse American socialism. Can you give me some pro arguments on the subject?,TRAIN,NA,0
AMERICAN SOCIALISM,I oppose American socialism. Can you give me some arguments against it?,TRAIN,NA,0
AMERICAN SOCIALISM,What do you think of American socialism?,TRAIN,NA,0
AMERICAN SOCIALISM,Tell me more about American socialism,TRAIN,NA,0
AMERICAN SOCIALISM,"I support American socialism, what about you?",TRAIN,NA,0
AMERICAN SOCIALISM,Can you give me some argument against American socialism?,TRAIN,NA,0
AMERICAN SOCIALISM,Are you against American socialism?,TRAIN,NA,0
AMERICAN SOCIALISM,"Everyone should back up American socialism, right?",TRAIN,NA,0
ANIMAL DISSECTION,Can you explain to me why there is a polemic about animal dissection?,TRAIN,NA,0
ANIMAL DISSECTION,How do you feel about animal dissection?,TRAIN,NA,0
ANIMAL DISSECTION,I endorse animal dissection. Can you give me some pro arguments on the subject?,TRAIN,NA,0
ANIMAL DISSECTION,I oppose animal dissection. Can you give me some arguments against it?,TRAIN,NA,0
ANIMAL DISSECTION,What do you think of animal dissection?,TRAIN,NA,0
ANIMAL DISSECTION,Tell me more about animal dissection,TRAIN,NA,0
ANIMAL DISSECTION,"I support animal dissection, what about you?",TRAIN,NA,0
ANIMAL DISSECTION,Can you give me some argument against animal dissection?,TRAIN,NA,0
ANIMAL DISSECTION,Are you against animal dissection?,TRAIN,NA,0
ANIMAL DISSECTION,"Everyone should back up animal dissection, right?",TRAIN,NA,0
ANIMAL TESTING,Can you explain to me why there is a polemic about animal testing?,TRAIN,NA,0
ANIMAL TESTING,How do you feel about animal testing?,TRAIN,NA,0
ANIMAL TESTING,I endorse animal testing. Can you give me some pro arguments on the subject?,TRAIN,NA,0
ANIMAL TESTING,I oppose animal testing. Can you give me some arguments against it?,TRAIN,NA,0
ANIMAL TESTING,What do you think of animal testing?,TRAIN,NA,0
ANIMAL TESTING,Tell me more about animal testing,TRAIN,NA,0
ANIMAL TESTING,"I support animal testing, what about you?",TRAIN,NA,0
ANIMAL TESTING,Can you give me some argument against animal testing?,TRAIN,NA,0
ANIMAL TESTING,Are you against animal testing?,TRAIN,NA,0
ANIMAL TESTING,"Everyone should back up animal testing, right?",TRAIN,NA,0
ARTIFICIAL INTELLIGENCE,Can you explain to me why there is a polemic about artificial intelligence?,TRAIN,NA,0
ARTIFICIAL INTELLIGENCE,How do you feel about artificial intelligence?,TRAIN,NA,0
ARTIFICIAL INTELLIGENCE,I endorse artificial intelligence. Can you give me some pro arguments on the subject?,TRAIN,NA,0
ARTIFICIAL INTELLIGENCE,I oppose artificial intelligence. Can you give me some arguments against it?,TRAIN,NA,0
ARTIFICIAL INTELLIGENCE,What do you think of artificial intelligence?,TRAIN,NA,0
