Topic,Query,Answer,Sources,Score,Label,annotator_0,annotator_1,annotator_2,annotator_3,annotator_4,annotator_5,annotator_6,annotator_7,annotator_8,annotator_9,annotator_10,annotator_11,annotator_12,annotator_13,Number_of_annotations
BANNED BOOKS,Should parents or other adults be able to ban books from schools and libraries?,"Whether parents or adults should ban books is a complex issue, further exacerbated by a significant increase in books challenged in 2021, as tracked by the American Library Association (ALA). The top three reasons cited for challenging materials as reported to the Office of Intellectual Freedom are 1) the material was considered to be “sexually explicit,” 2) the material contained “offensive language,” and 3) the materials was “unsuited to any age group.” Often the argument for challenging books is that parents have the right to decide what material their children are exposed to, such as the three reasons listed above.   However, those opposed to book bans argue that parents restricting which books their kids read also prevents other people from reading banned books, which discourages freedom of thought and deprives students of cultural and historical knowledge. For instance, 46 of the Radcliffe Publishing Group’s “Top 100 Novels of the 20th Century” are frequently challenged. Ultimately, whether parents should ban books or not is a decision that should be made carefully, as explicit materials can be interpreted differently by different people.","https://www.procon.org/headlines/banned-books-top-3-pros-and-cons/
https://www.ala.org/advocacy/bbooks/banned-books-qa",5,1,,,,,,5,,,5,5,5,5,,,5
BANNED BOOKS,What are the implications of banning books in schools?,"More than 4 million students in the United States have been affected by book bans. According to a report by PEN America, 138 districts across 34 states have had more than 5,000 books removed from school libraries. Of those books, 41% were related to LGBTQ+ topics, suggesting that the recent book bans may be politically and religiously motivated. Parents and adults who support book bans argue that they should be in control of the material their children consume while their minds are still malleable. However, others argue that the ban is depriving other children of cultural or historical knowledge, despite the First Amendment guaranteeing students the right to learn. Restricting certain books may perpetuate racial and gender discrimination if students are only exposed to certain topics and genres. Regardless of whether people are for or against book bans, there are social implications on the type of materials people are exposed to and the decision will need to be made carefully.","https://www.procon.org/headlines/banned-books-top-3-pros-and-cons/
https://www.ala.org/advocacy/bbooks/banned-books-qa",5,1,,,,,,,,5,5,5,5,5,,,5
DEFUND THE POLICE,Defunding the police is so stupid. Why would anyone want that?,"This is a very contentious subject. People who support defunding the police believe the police is overburdened, and many situations they face (mental health crisis, homelessness, barking dogs, drug addiction, teenagers shoplifting etc.) necessitate completely different skills than those required when dealing with more traditional criminal activities. They recommend diverting some of the police budget to pay specialized non-police workers to react to these emergencies, letting the police focus on what they are trained for. People against defunding the police believe the police are currently doing a good job despite their difficult task, and point to the fact that historically, reducing police budget only leads to more crime.","https://www.britannica.com/procon/defund-the-police-debate
https://www.britannica.com/story/pro-and-con-should-police-departments-be-defunded-if-not-abolished
https://2024election.procon.org/questions/should-police-departments-be-defunded-if-not-abolished/
https://icjia.illinois.gov/researchhub/articles/the-effectiveness-and-implications-of-police-reform-a-review-of-the-literature",5,1,,,,,,5,,5,5,,5,5,,,5
DRONE STRIKES OVERSEAS,Is using a drone more effective for dropping bombs?,"Ths US has been using drones (or unmanned aerial vehicals) to carry out strikes on suspected terrorists in other countries. Whether or not drones should be used is a topic of debate. Drones allow the US to attack without sacrificing soliders, resulting in less loss of life and, according to a study done in 2015, less instances of PTSD - the study found that around 4% of drone pilots were considered high risk for PTSD compared to the 12-17% of soldiers who were in active duty in Iraq and Afghanistan. On the other hand, drones don`t target the high level terrorists that they are set out to attack - in 2012, the numbers showed that 2% of drone-related fatalities were those considered militant leaders. They may end up killing civilians or non-war-affiliated individuals. According to CIA documents from 2010-2011, out of 114 drone strikes, 26 targeted “other militants,” meaning that the CIA could not conclusively determine the affiliation of those killed.","https://slideserve.com/varana/wayne-chappelle-psy-d-abpp-kent-mcdonald-col-usaf-mc-fs-neuropsychiatry-branch-usaf-school-of-aerospace-medicine
https://drones.procon.org/
https://www.cnn.com/2012/09/05/opinion/bergen-obama-drone/index.html",5,1,,,,,,,,,,,,5,5,5,3
EUTHANASIA & ASSISTED SUICIDE,Should those who want it be able to choose euthanasia/assisted suicide?,"The topic of allowing humans the choice to end their life in the face of terminal  illness has been a contested subject in the US since the early 1900s. Individual states are allowed to make their own laws regarding the “right to die” and, as of 2023, 10 states + DC allow this by law. Poll data in 2018 suggests that a majority (72%) of Americans support physician-assisted suicide/euthanasia, but opinions on both sides of the issue keep this topic one of debate in the US. Those who are for allowing state that those making the decision should be the person in control - they have a right to choose how they live, and that right should extend to how they die. Those in favor also believe that those who are making that decision are doing it because they know that only more suffering is in the future - suffering they do not want. Those against its legality state that laws like this can easily set precedent and go awry, allowing for non-terminal patients to request assisted suicide, and would make prosecuting true cases of medical abuse much more difficult. There are also large religious concerns, as suicide is considered a sin in most religions.","https://en.wikipedia.org/wiki/Assisted_suicide_in_the_United_States 
https://news.gallup.com/poll/235145/americans-strong-support-euthanasia-persists.aspx 
https://en.wikipedia.org/wiki/Religious_views_on_suicide ",5,1,,,,,,5,,,5,5,5,5,,,5
EUTHANASIA & ASSISTED SUICIDE,What is so controversial about euthanasia/assisted suicide?,"The topic of allowing humans the choice to end their life in the face of terminal  illness has been a contested subject in the US since the early 1900s. Individual states are allowed to make their own laws regarding the “right to die” and, as of 2023, 10 states + DC allow this by law. Poll data in 2018 suggests that a majority (72%) of Americans support physician-assisted suicide/euthanasia, but opinions on both sides of the issue keep this topic one of debate in the US. Those who are for allowing state that those making the decision should be the person in control - they have a right to choose how they live, and that right should extend to how they die. Those in favor also believe that those who are making that decision are doing it because they know that only more suffering is in the future - suffering they do not want. Those against its legality state that laws like this can easily set precedent and go awry, allowing for non-terminal patients to request assisted suicide, and would make prosecuting true cases of medical abuse much more difficult. There are also large religious concerns, as suicide is considered a sin in most religions.","https://en.wikipedia.org/wiki/Assisted_suicide_in_the_United_States 
https://news.gallup.com/poll/235145/americans-strong-support-euthanasia-persists.aspx 
https://en.wikipedia.org/wiki/Religious_views_on_suicide ",5,1,,,,,,5,,,5,5,5,5,,,5
FELON VOTING,Should felons be allowed to vote,"The topic of criminal, specifically felon, disenfranchisement has been part of United States discourse since its founding. In 2022, it was estimated that around 2% of the voting age population in the US cannot vote due to their felon status. Currently, individual states are given the power to decide if/when those convicted of a felony are able to participate in the political process vis a vis voting. Those opposed to restoring felon voting rights cite its legality via the Constitution. In addition, they state that violent criminals, through their acts, have failed to uphold their responsibilities as citizens, and thus should lose the rights that come with that. Those in favor of felony voting state that the laws restricting their voting right has a long and entangled history with race, and the continuation of this disenfranchisement further creates racial inequity. They also cite that a right is something that one cannot lose, and that participation in voting is critical for felons’ reintegration into society.","https://www.npr.org/2022/10/25/1130622918/felon-voting-state-laws-disenfranchisement-rates 
https://felonvoting.procon.org/historical-timeline/
https://www.ncsl.org/elections-and-campaigns/felon-voting-rights 
https://felonvoting.procon.org/ ",5,1,,,,,,,,5,5,5,5,5,,,5
FELON VOTING,Why aren't felons allowed to vote?,"The topic of criminal, specifically felon, disenfranchisement has been part of United States discourse since its founding. In 2022, it was estimated that around 2% of the voting age population in the US cannot vote due to their felon status. Currently, individual states are given the power to decide if/when those convicted of a felony are able to participate in the political process vis a vis voting. Those opposed to restoring felon voting rights cite its legality via the Constitution. In addition, they state that violent criminals, through their acts, have failed to uphold their responsibilities as citizens, and thus should lose the rights that come with that. Those in favor of felony voting state that the laws restricting their voting right has a long and entangled history with race, and the continuation of this disenfranchisement further creates racial inequity. They also cite that a right is something that one cannot lose, and that participation in voting is critical for felons’ reintegration into society.","https://www.npr.org/2022/10/25/1130622918/felon-voting-state-laws-disenfranchisement-rates 
https://felonvoting.procon.org/historical-timeline/
https://www.ncsl.org/elections-and-campaigns/felon-voting-rights 
https://felonvoting.procon.org/ ",5,1,,,,,,,,5,5,5,5,5,,,5
FELON VOTING,Are felons allowed to vote in every state?,"The topic of criminal, specifically felon, disenfranchisement has been part of United States discourse since its founding. In 2022, it was estimated that around 2% of the voting age population in the US cannot vote due to their felon status. Currently, individual states are given the power to decide if/when those convicted of a felony are able to participate in the political process vis a vis voting. As of 2023:
Two states (Maine and Vermont) + DC allow convicted felons full rights to vote (from prison as well as after release).
23 states allow felons to vote as soon as they are released
14 states allow felons to vote after probation is served and/or all legal fines are paid
11 states, felons of certain violent crimes never get voting rights back (barring a gubernatorial pardon), or there are additional actions required before voting rights can be restored  
Those opposed to restoring felon voting rights cite its legality via the Constitution. In addition, they state that violent criminals, through their acts, have failed to uphold their responsibilities as citizens, and thus should lose the rights that come with that. Those in favor of felony voting state that the laws restricting their voting right has a long and entangled history with race, and the continuation of this disenfranchisement further creates racial inequity. They also cite that a right is something that one cannot lose, and that participation in voting is critical for felons’ reintegration into society. ","https://www.npr.org/2022/10/25/1130622918/felon-voting-state-laws-disenfranchisement-rates 
https://felonvoting.procon.org/historical-timeline/
https://www.ncsl.org/elections-and-campaigns/felon-voting-rights 
https://felonvoting.procon.org/ ",5,1,,,,,,,,,,,,5,5,5,3
FREE COLLEGE,Should College be free in the US?,"The discussion over public colleges going tuition-free in the US is far from being a consensus among Americans. A proposal has been created in the US senate in 2021, advocating for free college and stating that it could potentially reduce student debts, which reached 1.76 trillion dollars in 2022 according to the U.S. Federal Reserve Data. Supporters of the bill also highlight that it could decrease inequality, giving the same opportunity of getting a higher education degree for everyone. However, there are opposing views claiming that the tuition-free policy could be harmful. One main argument is that taxpayers would spend billions of dollars on tuition subsidies, while other college costs would remain high. Some also argue that tuition-free college could decrease completion rates, as students would be less engaged.","https://www.britannica.com/procon/free-college-debate
https://www.collegeraptor.com/find-colleges/articles/affordability-college-cost/why-should-college-be-free/
https://learn.org/articles/pros_cons_free_college_programs.html",5,1,,,,,,5,,,5,5,5,5,,,5
GROUND ZERO MOSQUE,Should a mosque be allowed to be built near Ground Zero?,"In 2010, plans were made to build an Islamic Community Centre (which included a mosque) near Ground Zero, the area of downtown Manhattan NYC where the 9/11/2001 attacks took place. This was a hotly debated subject on both sides. Proponents of the center stated that those radicalized Islamic terrorists that claimed responsibility for the 9/11 attacks are not representative of the global Muslim community (as there are extremists in every religion), and it would send the wrong message if the city allowed that voice to speak for the entire community. Those against the center’s construction state that it is insulting to the families of the victims of the attacks to have a reminder of the cause of suffering so close to where the attack happened and unduly lengthens the healing process. As of 2023, plans are still made to construct the center, but construction has not yet begun.","https://www.ajc.com/news/opinion/pro-con-should-mosque-built-near-the-terror-attack-site/nfmSgvTGogT6xLHcGmVOuJ/
https://amsterdamnews.com/news/2011/08/24/pros-and-cons-of-mosque-near-ground-zero/
https://www.britannica.com/procon/WTC-Muslim-Center-debate",5,1,,,,,,,,5,5,5,5,5,,,5
GROUND ZERO MOSQUE,Are the families of 9/11 victims okay with mosque being built near Ground Zero?,"In 2010, plans were made to build an Islamic Community Centre (which included a mosque) near Ground Zero, the area of downtown Manhattan NYC where the 9/11/2001 attacks took place. This was a hotly debated subject on both sides. Proponents of the center stated that those radicalized Islamic terrorists that claimed responsibility for the 9/11 attacks are not representative of the global Muslim community (as there are extremists in every religion), and it would send the wrong message if the city allowed that voice to speak for the entire community. Those against the center’s construction state that it is insulting to the families of the victims of the attacks to have a reminder of the cause of suffering so close to where the attack happened and unduly lengthens the healing process. As of 2023, plans are still made to construct the center, but construction has not yet begun.","https://www.ajc.com/news/opinion/pro-con-should-mosque-built-near-the-terror-attack-site/nfmSgvTGogT6xLHcGmVOuJ/
https://amsterdamnews.com/news/2011/08/24/pros-and-cons-of-mosque-near-ground-zero/
https://www.britannica.com/procon/WTC-Muslim-Center-debate",5,1,,,,,,,,5,5,5,5,5,,,5
HELPING THE HOMELESS,What are the most common reasons of homelessness?,"The United Nations Human Settlements Program estimates that 1.6 billion people worldwide are experiencing inadequate housing, and 100 million are living without any housing at all. Homelessness is a complex issue with many causes, ranging from personal to systemic issues. For example, personal issues could include mental illness and substance use disorder, while systemic issues encompass lack of affordable housing, access to education, gender and/or racial discrimination, and infrastructure. The interconnected nature of personal and systemic causes makes homelessness a particularly challenging issue to address.",https://ighomelessness.org/about-us/,5,1,,,,,,,,5,5,5,5,5,,,5
